company_name,job_category,location,status,created_at,title,content_pros,content_cons,content_hope,star,star1,star2,star3,star4,star5,company_id
(주)티몬,영업/제휴,서울,전직원,2023. 10,팀바팀이 심하지만 함께 으쌰으쌰 하는 곳,회사 재정이 좋지않아서오히려 더 팀끼리 뭉치는 느낌이지만회사는 사람만 좋으면 최고아닌가,점점 사라지는 복지가 아닐까.. 이 외는 없어요타회사 비교시 웬만하면 만족할듯,회사 직원들을 더 돌아보면 좋을거같아요,5점,3점,3점,4점,4점,1점,1
(주)티몬,유통/무역,서울,전직원,2023. 10,수평적 구조에 성장 가능성을 높게 봐주는 회사,직급을 붙이지 않고 호칭 하는점과 교통이 좋았습니다.,"월급 상승률이 낮고, 특정 업무를 배우면 그 이상 깊게무언가를 배우고 함양할 수 있는 기회가 주어지지는 않은 것 같습니다.",퇴사율이 비교적 높은 이유에 대해 고민하고 복리후생이나 월급 인상율을 높여주었으면 합니다.,3점,3점,3점,3점,3점,3점,1
(주)티몬,마케팅/시장조사,서울,전직원,2023. 09,정체된 발전이 없는 회사라는 생각이 듭니다 쿠팡 짱,연차는 맘대로 쓸 수 있어요 하지만 팀마다 다르겠지만 우리 팀장은 눈치줌,이미 쿠팡에 완패했기 때문에 그냥 서서히 망해가는 회사라고 볼 수 있다.,화이팅 하십쇼 충성충성 저도 당신들 같은 사람이 되고 싶습니다.,3점,3점,3점,3점,3점,3점,1
(주)티몬,유통/무역,경기,전직원,2023. 09,근무는 나쁘지않았으나 사람을 잘 만나야 하는 곳,장시간 아르바이트라 월급이 높으면 사대보험 등이 보장됨,같이 일하시는 매니저님의 텃세가 조금 있어서 힘들었음. 온전히 매니저들의 힘으로 운영되는 방식,피고용인들의 근태나 업무 관리에 조금더 힘을 쓸 수 있는 시스템이면 좋았을거 같습니다,3점,4점,3점,2점,1점,3점,1
(주)티몬,마케팅/시장조사,서울,전직원,2023. 09,"팀마다 분위기가 매우 다름.
본인 소속 팀은 분위기가 매우 좋았음. 
안정적을 추구한다면 다닐만한 회사 / 개인발전은 없어보였음","팀바팀 분위기지만 그래도 수평적 관계, 적립금 제공, 재택","복지 계속없앰 . 근무지/팀 자주변경 , 발전가능성이 적음",복지좀 없애지말고 유지라도 . 제대로된 팀건물 마련 .,3점,3점,3점,3점,3점,3점,1
(주)티몬,마케팅/시장조사,서울,전직원,2023. 09,온라인커머스가 어떻게 돌아가는지 알고 싶은 신입들은 가볼만한 회사,"연차 눈치안보고 씀, 포커스데이로 정기적인 재택근무, 쾌적한 사무실환경",주니어급이 너무 많다보니 배울게 많지 않고 혼자 터득해야하는 경우들이 있을 수도,여러 커머스를 인수한 만큼 통합 생태계 구축을 잘 해서 소비자가 혹할 만한 서비스들을 내놓으면 좋겠습니다.,3점,4점,3점,4점,3점,3점,1
(주)티몬,미디어/홍보,서울,전직원,2023. 09,큰기업이긴 하나 뭔가 항상 불안한느낌,그래도 오랫동안 커머스 쪽에서 운영되어있던 회사라 시스템이 갖춰져있다,"텐션있게 움직인다는 느낌, 변화를 추구하기보단 새로운것을 두려워하는 느낌",직원들에게 조금이나마 안정된 느낌을 주는것이 중요할것같다,3점,3점,3점,3점,3점,3점,1
(주)티몬,마케팅/시장조사,서울,전직원,2023. 09,"다양한 경험과 다양한 직군의 사람들과 협업이 가능한 곳이지만, 회사의 규모가 어느정도 있다보니 무언가를 해내기가 어려움","직군마다 차이가 있지만, 다니기 어려운 레벨은 아닙니다. 어느정도 워라밸을 챙기고 싶다면 추천 합니다.","대표 교체와 조직개편이 잦다보니, 한 직무에서 안정적으로 일을 하기 어려운 환경입니다.","좀 더 안정적인 구조를 갖추고, 시장 경쟁성을 확보할 수 있도록 공격적 경영을 하면 좋을 것 같습니다.",3점,3점,3점,4점,4점,3점,1
(주)티몬,유통/무역,서울,전직원,2023. 09,자유로운 분위기와 동시에 존재하는 꼰대문화,"자유로운 분위기
기업 문화 챙기는 걸 인사팀이 상당히 잘 해줍니다
갈등이 생겨도 인사팀이 잘 챙겨줬던 기억","아침 조회를 합니다.
자리는 실적순
더 쓰면 피티에스디 올거같아요",정규직전환 인턴을 뽑아놨으면 잘좀 챙겨주시지 그러셨어욤,4점,4점,3점,2점,4점,2점,1
(주)티몬,마케팅/시장조사,서울,전직원,2023. 09,"개발부서와 영업부서 처우 차이가 많이 남, 또래들이 좋아 마음모아 일하기에는 좋음. 다만 대리 이상의 허리부재","같은 또래들과 일할 수 있음. 수평적인 문화, 자유로운 복장으로 출퇴근 자체 부담은 ㅇ벗음",복장은 자유롭지만 분위기는 자유롭지 않음. 수직성장이 어려운 사내 구조,신규 사업개발에 더욱 의지를 보이면 좋을 것 같음. 보도자료만 공격적이고 내부의지는 없어보임,3점,3점,3점,3점,2점,2점,1
(주)티몬,미디어/홍보,서울,현직원,2023. 09,부바부가 심하고 그나마 미세하게 있던 좋았었던 복지는 다 사라짐.,칼퇴 가능합니다. 요즘 5시반 퇴근으로 바꼈는데 6시만 되도 거의 아무도 없음,직원들을 위한 회사는 절대 아님. 어느 회사나 마찬가지겠지만 직원들은 소모품이고 언제든 교체 가능하다는 마인드,직원들 다 내보내는 게 목적이 아니라면..남아있는 직원들 사기도 좀 챙겨주세요.,3점,3점,1점,5점,2점,2점,1
(주)티몬,영업/제휴,서울,현직원,2023. 09,회사는 발전을 원하나 팀 리더들은 과연 ...맞춰 오는걸까????,젊은 수평문화 및 나이대가 어려서 생각보다 자유로운 분위기라고 볼수있다..물론 팀바이팀 이지만 .. 아직 꺠어있는 사람들이 무엇인가를 시도해보려고 노력하고있는중,정치가 너무 심하다.. 팀장 및 리더의 역량이 되지 못하는데 ..그 자리에 앉아있으니 사원들만 죽을맛............경력 및  레퍼체크 좀 확실히 필요할 부분이 있따.. 일해라 인사팀..,"너무 당연한것을 복지라고 얘기 안했으면 좋겠다... 회사의 미래를 바라보는 입장에서라면
티몬은 한계에 다달랐다. 좀더 공격적인 마케팅 및 우리만의 아이덴티티가 필요하다고 생각합니다.",3점,3점,2점,4점,3점,2점,1
(주)티몬,개발,서울,전직원,2023. 09,"한때 괜찮았던 기업, 과거에 좋은 인력과 인프라의흔적이 있는 기업","팀바팀이겠지만 수평적인 조직문화, 팀 내부 스터디 잘 되었음워라밸네 좋음",잦은 CEO 교체로 정책 변화가 많음사업 비전을 잘 모르겠음,합리적인 복지와 보상체계가 있었으면 좋았을 것 같다정기점검이 너무 많음,4점,3점,2점,4점,4점,2점,1
(주)티몬,개발,서울,전직원,2023. 08,제가 다닐때만 해도 좋은 회사 였습니다 팀간 소통도 잘되고 서로 존중하며 다녔네요,소셜 커머스를 경험할수 있고 좋은 기업문화를 경험할수 있었습니다 현재 소문으로는 다 없어졌다고 하지만 그래도 좋은 회사라는 인식은있습니다,업계 3등이라 경영이 힘들수 있다는 생각을 했네요 그래도 투자만 잘이루어진다면 좋은 기업으로 성장할수있지 않을까 라는 생각을 해봅니다,좋은 문화는 가지고 가는게 맞지않나싶지만 그것도 다 비용이라 아쉽네요,5점,4점,4점,4점,5점,4점,1
(주)티몬,마케팅/시장조사,서울,전직원,2023. 08,편안하지만 보람있는 직장은 아닙니다.....,"수평적인 구조에 눈치 안주는 분위기, 팀바팀이겠지만 특별히 이상한 직원은 없음",발전이나 성장 가능성이 보이지 않음... 부품으로 일하고 있다는 느낌을 받음,없습니다..앞으로 성장할 수 있는 회사가 되길,2점,3점,2점,4점,4점,2점,1
(주)티몬,디자인,서울,전직원,2023. 08,열심히 하는 사람에게 기회가 있어서 좋음,윗사람 눈치 안보고 연차를 사용하거나 복지가 짱짱하여 회사 다닐 맛이 남,회사의 최고의 단점은 시스템 체계가 명확하지 않다는 것,직원의 불만을 잘 듣고 해소할 수 잇도록 부탁 합니다,4점,4점,4점,4점,4점,4점,1
(주)티몬,개발,서울,전직원,2023. 08,젊은 분들이 많아 기업분위기가 활발합니다. 그리고 직원분들이 착하십니다.,분위기가 활발한게 장점입니다. 그외에는 없는것 같습니다.,급여가 작고 복지가 다양하지 않습니다. 그래서 불만을 가지는 분들이 많습니다.,직원을 더욱 챙겨주시면 회사도 성장할 수 있을것 같습니다.,2점,4점,2점,2점,3점,1점,1
(주)티몬,전문직,서울,전직원,2023. 08,근무를 함에 있어서 보람차게 일할 수 있는 회사입니다.,회사 내에서 연차를 사용함에 있어서 자유롭고 분위기가 유쾌합니다.,집하고 거리가 있어서 출퇴근 시간이 오래 걸렸었습니다.,회사의 분위기에 대체로 만족하고 다녔었었습니다.,5점,5점,5점,5점,5점,5점,1
(주)티몬,개발,서울,전직원,2023. 08,동료들이 너무 좋고 재미있게 일을 할 수 있었던 회사였음,연차 자율 수평적 분위기 능력있는 동료들이 많음 소소한 복지 많음,경영진이 제대로 된 방향을 못잡고 중간 관리자의 역량이 부족,앞으로는 제대로 된 경영 능력을 보여주고 직원들의 사기 향상 시켰으면,3점,3점,2점,4점,3점,4점,1
(주)티몬,데이터,서울,전직원,2023. 08,매년 성과급 주냐 마냐로 밀당하는 회사,그저 사람이 좋아서 다녔음. 열심히 잘 하면 인정해주던 시절도 있었으나 그게 지금은 아닌것 같음.,인사 체계가 계속해서 흔들림. 좋은 쪽으로 생각하려고 해도 매년 줏대없이 흔들리고 그 과정에서 피해보고 맘고생 하는건 실무자임.,적당히 줄거면 적당히 바랬으면 좋겠음. 애사심 들만한 이벤트 다 버리고 장기근속자들 떠나면 왜 떠나는지는 알아야지,3점,3점,2점,3점,2점,1점,1
(주)티몬,마케팅/시장조사,서울,전직원,2023. 08,당시 쿠팡의 비약적성장으로 타개책이 없었음. 새로 부임한 임원들은 능력부족,자유로운 분위기에 연차 등도 마음대로 사용 가능했다,자주 변경되는 젇책으로 인하여 실무진들이 갈피를 못 잡음,그때 당시의 경영진들은 다행이.. 모두 그만두었지만 지금의 경영진 분들은 잘해주시길 기대합니다.,3점,3점,3점,2점,2점,1점,1
(주)티몬,디자인,서울,전직원,2023. 08,역시 대기업인가봄니다 매우 좋은 근무한경 과 기업문화,역시 이름 있는 회사라 그런지 좋습니다 기업문화도 좋고 사람들도 좋고,단점은 너무 바쁜수도 있습니다 팀마다 다른지만 매우 바쁨,경영진들 열심히 잘 꾸려나가고 있습니다 화이팅 입니다,3점,3점,3점,3점,3점,3점,1
(주)티몬,개발,서울,전직원,2023. 08,기존에 반짝임이 사라지고 큐텐 인수되면서 분위기가 다운됨,"평등한 인사, 하고싶은 것은 적극적으로 진행가능 했었음",큐텐인수되면서 사내 분위기 안좋음.복지 다 사라짐지오시스의 사내문화에 따라가야해서 기존의 장점이 다 사라짐,예전의 티몬을 바라긴 힘들겠지만 최소 20년대를 사는 회사가 되었으면..,3점,3점,1점,4점,3점,2점,1
(주)티몬,법률/법무,서울,전직원,2023. 08,여러가지를 시도하지만 잘되는게 없어 안타까운 회사 소셜커머스 선두주자였지만 후발주자인 쿠팡을 이제는 절대 따라잡을 수 없음,전체적으로 젊은 기업 수평적 문화를 지향하는 조직문화 본인이 하기에 따라 워라밸을 잘 챙기면서 다닐 수 있음,조직문화나 워라밸이 팀바팀 계속 회사가 유지될지 불안함,"주주 눈치만 보지말고 좋은 서비스를 만들어야 함 특히, 상품 구색이 점점 안좋아지고 배송서비스도 안좋은 악순환의 고리를 끊어야 살아남을 수 있음",3점,4점,4점,3점,3점,1점,1
(주)티몬,마케팅/시장조사,서울,전직원,2023. 08,말로만 기회 준다 준다 하지만 기회는 무슨 그냥 사람 묶어둘라고 말만 하는 회사,팀바팀이긴한데 자유로운 팀은 진짜 자유롭게 보낼 수 있었음,그 외 모든점 팀원 잘 맞으면 행복하고 안맞으면 힘들고... 낮은 연봉,지금은 저런 단점이 고쳐졌길 바라고 보상이 너무 부족하다고 생각함,2점,2점,2점,4점,2점,2점,1
(주)티몬,영업/제휴,서울,현직원,2023. 08,업무 분담이 명확한 회사 어리면 일하는 거 추천합니다일은 재밌어요,소셜커머스 업무가 어떻게 흘러가는 지 알 수 있어요일은 할만해요,물경력.... 어쩔수없는 물경력업무 안넘깁니다 장점일수도,복지 늘려주세요 물가에 비해 월급이 너무 짜요라면 말고 간식 지원해주세요,4점,3점,2점,5점,5점,3점,1
(주)티몬,마케팅/시장조사,서울,전직원,2023. 08,재미있는 회사이다. 사내 복지도 빵빵한 편이다. 성장성도 보인다,연차를 눈치보지 않고 쓸 수 있고 복지 또한 빵빵한 편이고 개인 성장에도 도움이 된다 자기가 알아서 잘하면 버틸 수 있는 회사 인것 같다,시장에서 계쏙 밀리고 있는 상황 속에서 돌파할 수 있는 게 없는 게 단점인 것 같아 안타까운 심정이다.,직원들과 소통을 많이 하는 경영진이 되었으면 한다. 성장도 공유했으면 좋겠습니다,2점,3점,3점,3점,3점,3점,1
(주)티몬,금융/재무,서울,전직원,2023. 08,인수 되기 전에는 배울 것도 많고 다니기 좋은 회사였지만 지금은 많은게 사라진 회사,"같이 일한 분들이 다들 좋고 업무 능력도 뛰어남, 복지도 괜찮고 자기 할 일 끝나면 칼퇴 가능, 재택이 너무 좋았음","인수되고 나서 복지가 대부분 사라짐, 재택이 없어진게 너무 크고 히스토리 파악이 어려움","손실이 너무 많다보니 살아날 방법이 없는 느낌, 긴축이 필요해 보입니다",4점,4점,3점,4점,4점,2점,1
(주)티몬,마케팅/시장조사,서울,전직원,2023. 08,최악이였습니다. 대표가 너무 많이바뀌고 체계라고는 없는회사.. 추천하지않습니다,장점은 반반차 같은 제도가 있다는것과 삼성역에 있어서 좋았다는 점 ? 그 외 그냥 가끔 주는 간식제공,"단순 보고를 위한 문서작업 진짜 많고, 복지제도는 있는척 하지만 사실 그냥 연차정도 밖에없음. 정작 복지는 거의 없어지고 대표번동이 너무 자주있고 말도안되는 업무량과 말도안되는 윗선들의 업무 지시 밤에도 연락오고 지 맘에안들면 하루종일 욕만 들어야함 
또한 평가제도도 의아함",평가는 공정하게 하는건가요? 그냥 윗사람들 맘에들면 돈많이주고 챙겨주고 하는것 같은데 공정한 평가제도 설립을 바랍니다.,1점,1점,1점,1점,1점,1점,1
(주)티몬,마케팅/시장조사,서울,전직원,2023. 08,"이커머스 업계에서 오래된 회사이지만,
큐텐에 인수되며 단기 목표 채우는데 급급해져 버린 회사..

큐익스 상장하고 나면 어떻게 될까?","1) 워라밸 좋음, 다만 최근 구조조정으로 인해 일부 부서 워라밸 붕괴
2) 젊은 구성원","1) 후려치는 연봉
2) 애매한 위치의 사옥
3) 비전의 부재","큐익스 상장만을 바라보며 달리시지만, 상장 이후에도 고민이 필요합니다.",3점,4점,2점,3점,3점,2점,1
(주)티몬,교육,서울,전직원,2023. 08,벤처기반 기업으로 조직 분위기는 젊은 편이나 투자자의 힘이 강해 경영상의 좌지우지가 많음,다양한 복지 예를들어 슈퍼패스 하루 2시간 조기퇴근을 쓸수있는 제도,기존 창립 멤버와 새롭게 외부에서 투입된 경력직들간의 수준과 결이 너무 달라 하나로 융합되기 어려움,"투자자의 입김으로 잦은 대표 교체, 리더십과 방향성 부재로 무너져 가는것이 보이는 회사",3점,2점,3점,3점,3점,1점,1
(주)티몬,디자인,서울,전직원,2023. 08,워라벨 좋아하면 다니기 좋겠지만 발전은 없을듯 ㅎㅎㅎㅎ,연차 자유로움중견기업임커피기계있음카페할인됨삼성역에 있음,큰 회사 임에도 불구하고 체계가 없음이 업계에서 왜 뒤쳐지고 있는지 알것 같음,새로운걸 너무 남발하면서 시도하기보다는뭐가 문젠지 진지하게 생각해야할듯,1점,1점,1점,3점,1점,1점,1
(주)티몬,영업/제휴,서울,전직원,2023. 08,다양한 업무를 배워볼 수 있지만 관리가 이루어 지지 않는거 같다,"연차 자유로움, 복지가 좋음, 역에서 가까움
재택근무가 가능함, 업무에 대해 다양하게 배울 수 있음","단순 보고를 위한 문서 작업이 많음
관리가 잘 이루어 지지 않음",단순 문서 작업을 줄이고 복지를 더 늘려주세요,2점,4점,2점,2점,2점,2점,1
(주)티몬,영업/제휴,서울,전직원,2023. 08,"부바부 팀바팀 따라 다르겠지만 분위기 좋았고, 사람들이 열정 넘쳐 배울 점이 많았음","반반차 연차 눈치 안보고 쓸 수 있음, 직원 포인트 적립 좋음. 사내카페 직원할인 무제한",대체적으로 만족스러웠음. 아쉬운 점은 상위 경영진의 포지셔닝부분이 강화되었으면 함.,직원 불만의 해결책을 잘 들어줬으면 함,4점,4점,4점,4점,5점,4점,1
(주)티몬,영업/제휴,서울,전직원,2023. 08,계약직이면 절대 들어가지 말아야 할 곳. 정규 전환 기회 이제 없음,"자유로운 연차사용이 있었으나, 경영진이 바뀌면서 위에서 압박이 있는지 일 이주전 무조건 결제올려야함.",경영진들의 변덕이 가장 큰 단점일 듯 싶다. 일부 재택근무 하다가 다시 재출근하라했다고 했다가 합병된 다른 기업은 또 재택을 한다하다가 이런식..,합병되었으면 티몬이든 위메프든 큐텐이든 전체적으로 동등한 대우가 필요할 듯 싶다.,2점,1점,2점,4점,1점,1점,1
(주)티몬,영업/제휴,서울,전직원,2023. 08,젊은 고객들을 대상으로 커머스 사업을 하는 . 직원들도 젊은 층위주로 구성. 경영층도 경력대비 너무 젊은 회사였음,직원을 위한 여러가지 제도가 있었음. 오후 2시간 일찍퇴근하는것이나.. 1년에  전사 대상 행사는 직원들과 같이 어울릴수 있는 좋은 문화라 생각됬음.,너무 젊은 층으로 구성되다보니  사업에 대한 보는 관점이 다소  단기 실적에만 치우지고. 적자가 나는 회사여서 비용 절감으로 인해 영업에 어려움이 있었음,향후 이커머스의 큰 방향성을  보고  직원들의  동기 부여도 하면서 경영을 잘 하시기 바랍니다.,3점,3점,3점,3점,3점,2점,1
(주)티몬,영업/제휴,서울,전직원,2023. 08,회사의 내리막길은 이제 끝났는지 궁금하네요..........,열심히 하는 사람들이 있었던 때가 있었는데 그때는 정말 분위기 좋음,한번 나락가기 시작하면 어떻게 되는지 정말 살벌하게 경험함,경영진의 결정이 얼마나 중요한지 체감할수 있었습니다..,2점,3점,2점,3점,4점,2점,1
(주)티몬,영업/제휴,서울,전직원,2023. 08,버티면 성장할 수 있는 곳. 자신의역량에 따라 빨리 승진가능한곳,젊은 문화여서 또래들과의 소통이 가능하다는점. 자기 업무다하면 끝이라는점.,끊임 없이 반복하는업무로 인해 내가 성장하는 건지 매출만 올리는건지모르겠다,조금 더 직원들의 복지에신경썼으면 좋겠습니다! 소통도 중요하지만 실행 부탁드립니다.,3점,5점,3점,3점,3점,3점,1
(주)티몬,미디어/홍보,서울,전직원,2023. 07,재택있을 땐 굿 커머스 쪽은 분위기도 나름 좋앜ㅅ움,"재택 좋음
라면기계 있음 라면 공쨔 ㅎ
일층에 카페도 있슴","계약직은 정규직 전환 거의 안됨
워라벨는 앖는거 갘음
복지도 별로 앖슴","기대가 없어서 별로 바라눈 것도 없댜
그냥 분위기만 좋게 만들어주세유 ㅎㅎ",3점,2점,2점,3점,3점,2점,1
(주)티몬,마케팅/시장조사,서울,전직원,2023. 07,지금은 모르겠으나 당시 갈리듯이 일했던 기억뿐인 회사 보험회사 같은 느낌을 지울 수 없었음,같이 일하는 팀원들 때문에 버텼었음 그 외 장점 기억 안남.,"당시 사람을 갈고 갈고 또 갈았음, 강제야근, 카톡감옥, 폭언, 의미없는 특가 수 늘리기, 그럴 수록 빠지는 매출, 사라지는 복지들, 병 얻고 나왔던 회사",지금은 인수합병되어 경영진도 바뀌고 당시 분위기와 많이 달라졌을거라 생각합니다. 과거 부당하고 불합리했던 것들은 사라지고 재직자들이 일하고 싶은 일할맛 나는 회사였으면 좋겠습니다.,1점,1점,1점,1점,1점,1점,1
(주)티몬,서비스/고객지원,경기,전직원,2023. 07,규모가 있는 기업인 만큼 업무나 복지 등 잘 갖춰진 체계가 있어 일하기에 좋다고 생각됨.,집에서 멀지 않은 곳에 있어서 출퇴근 시간이 길지 않았음. 알바하기에는 시급도 넉넉해서 꽤 좋았던것 같다.,생각보다 업무에서 오는 스트레스가 많았다. 각자 알아서 멘탈을 케어하는 것 같았는데 오래 일 할 수 있을만한 업므는 아니라고 느낌.,인바운드 아웃바운드 업무가 생각보다 강도높은 감정노동인데 적절한 대비책이 있으면 좋을것 같다.,3점,3점,3점,3점,3점,3점,1
(주)티몬,디자인,서울,전직원,2023. 07,워라밸을 추구하고 자기 성장에 대해 큰 욕심이 없으면 편하게 다닐 수 있는 기업,"연차사용에 대해 자유로운편, 칼퇴 가능, 사내카페 저렴","부서끼리 협업이 안되는 분위기, 줄어드는 복지, 비효율적인 업무진행",합리적인 보상체계가 필요하며 매출에 급급한 수직적인 사내 분위기가 많이 안타깝네요.,3점,2점,2점,4점,1점,1점,1
(주)티몬,미디어/홍보,서울,전직원,2023. 07,적은 연차에 많은 업무를 경험할 수 있는 곳변화가 정말 많은 곳,연차를 눈치 안보고 사용할 수 있음재택 근무가 있음동료들이 좋음,연봉이 진짜 너무 적음 성과급이 없음변화가 너무 많아서 피곤,합리적인 보상 체계와 복지가 있으면 좋을듯 직원들의 목소리를 더 듣는 회사였으면,3점,3점,2점,2점,4점,2점,1
